Rank,Player,Team,Pos,OVR,OFF,DEF,REB,ReleaseSpeed,ShootingRange,ShotVersatility,RimPressure,HandleUnderPressure,PassingReads,FootSpeed,Stamina,DefensiveEffort,SchemeIQ,RimDeterrence,ScreenNavigation,OffensiveRebounding,Portability,PlayoffTranslation
251,Josh Okogie,PHX,G,46,26,48,26,27,28,29,27,26,22,52,43,56,50,29,57,21,47,40
252,Jake LaRavia,SAC,F,46,37,45,34,32,34,38,37,39,37,50,50,49,47,37,47,29,48,43
253,Noa Essengue,CHI,F,46,31,30,33,36,29,29,37,28,32,48,39,31,25,29,36,33,30,22
254,Kyshawn George,WAS,F,46,33,32,33,32,31,31,37,35,27,47,43,36,25,33,34,31,29,23
255,Carlton Carrington,WAS,G,46,31,31,32,31,33,33,33,29,33,44,41,36,29,30,28,30,25,19
256,Landry Shamet,NYK,G,44,33,24,17,44,52,37,23,25,32,25,30,22,38,12,22,15,34,33
257,Julian Strawther,DEN,G,44,34,24,18,49,51,37,17,27,36,28,28,23,35,12,25,17,33,30
258,Saddiq Bey,NOP,F,44,35,24,17,50,48,35,22,30,35,24,33,21,38,12,26,15,38,37
259,Ryan Kalkbrenner,CHA,C,44,22,49,46,16,12,22,33,19,29,29,42,53,52,52,39,46,48,38
260,Jaxson Hayes,LAL,C,44,24,37,40,18,16,25,29,23,28,25,37,38,34,44,33,40,39,28
261,Paul Reed,DET,C,44,25,36,41,17,19,21,30,26,30,26,37,37,38,39,32,42,41,25
262,Vit Krejci,ATL,F,44,24,34,41,15,22,23,29,23,30,27,41,34,33,39,32,42,41,30
263,Day'Ron Sharpe,BKN,C,44,23,36,38,20,17,24,25,22,28,30,37,40,33,41,28,38,40,26
264,Maxime Raynaud,SAC,C,44,36,35,42,44,49,37,33,32,30,29,46,31,36,47,25,39,40,34
265,Jae'Sean Tate,HOU,F,44,25,45,30,22,24,22,28,28,23,51,44,53,50,31,47,27,43,37
266,Julian Champagnie,SA,F,44,37,42,24,43,49,40,33,34,33,48,46,51,42,27,46,18,47,46
267,Asa Newell,ATL,F,44,31,30,29,30,31,32,36,28,33,44,41,33,25,31,30,25,30,23
268,Collin Murray-Boyles,TOR,F,44,33,28,32,32,29,32,37,34,30,44,42,35,26,25,28,32,30,16
269,Ja'Kobe Walter,TOR,G,44,30,30,30,32,27,28,31,28,32,41,42,37,28,25,28,28,25,21
270,Noah Clowney,BKN,F,44,30,31,29,34,30,31,30,30,25,46,39,34,27,30,33,27,29,23
271,Cedric Coward,MEM,F,44,31,30,29,30,32,32,33,32,29,42,36,30,26,32,33,27,24,23
272,Josh Minott,BOS,F,44,26,26,27,28,24,23,29,28,23,40,36,23,24,25,30,26,28,16
273,Keon Ellis,SAC,G,44,26,46,30,21,25,27,24,29,24,51,39,51,47,32,54,28,42,33
274,Yang Hansen,POR,C,44,29,29,29,28,31,27,31,29,29,40,38,30,29,31,27,26,24,22
275,Thomas Sorber,OKC,C,44,30,30,32,29,32,27,35,30,28,40,42,34,30,25,31,31,26,19
276,Mouhamed Gueye,ATL,F,42,21,45,44,12,17,17,31,21,26,30,38,48,44,49,39,44,46,38
277,Maxi Kleber,LAL,F,42,34,32,39,40,43,35,30,32,28,23,40,27,35,44,23,37,35,35
278,Quinten Post,GS,C,42,34,31,42,37,42,35,32,32,30,27,38,26,33,46,19,42,34,32
279,Oso Ighodaro,PHX,C,42,22,35,39,17,19,18,28,21,25,28,33,38,31,42,30,40,32,25
280,Keon Johnson,BKN,G,42,31,36,37,29,29,28,46,30,23,46,44,38,37,27,40,38,36,35
281,Justin Edwards,PHI,F,42,29,29,29,26,30,26,31,31,26,39,40,34,28,24,30,28,23,21
282,Pacome Dadiet,NYK,F,42,30,26,26,29,27,29,30,31,29,42,36,32,22,26,26,24,28,18
283,Tidjane Salaun,CHA,F,42,28,31,29,32,26,26,33,26,26,41,42,34,29,29,31,26,21,18
284,Will Riley,WAS,F,42,29,30,29,29,29,31,35,27,24,40,38,35,25,30,28,26,25,22
285,Walter Clayton Jr,UTA,G,42,30,28,29,31,32,26,30,30,28,41,36,30,28,28,26,27,22,17
286,Cody Williams,UTA,F,42,29,29,29,25,28,26,33,29,29,38,38,31,26,30,29,26,22,20
287,Marvin Bagley III,WAS,F,42,23,35,41,16,20,20,31,24,23,26,39,37,30,43,29,41,33,29
288,Kevin Porter Jr,MIL,G,42,23,22,23,24,25,22,23,22,21,35,34,22,20,22,22,20,27,17
289,Talen Horton-Tucker,CHI,G,42,33,27,16,39,37,36,30,34,28,36,36,33,32,12,30,12,36,28
290,Scotty Pippen Jr,MEM,G,42,25,24,26,28,25,24,21,26,27,34,31,26,24,24,22,26,25,20
291,Antonio Reeves,NOP,G,42,33,26,18,35,39,32,26,34,34,38,36,29,32,15,30,15,34,29
292,Ousmane Dieng,OKC,F,42,31,29,32,31,31,29,30,33,31,36,41,29,26,28,32,31,26,22
293,Pelle Larsson,MIA,G,42,30,29,28,28,28,33,33,30,30,37,36,30,27,27,32,26,23,16
294,Vasilije Micic,PHX,G,42,43,26,20,41,40,42,39,43,52,34,41,29,35,17,21,16,40,42
295,Jalen Smith,CHI,C,42,22,35,37,17,18,19,24,23,26,25,36,36,36,43,26,36,39,22
296,John Konchar,MEM,F,42,24,45,30,21,20,20,26,26,25,43,41,53,45,33,50,26,37,38
297,Johni Broome,PHI,C,42,30,25,27,26,28,28,33,33,29,36,41,29,22,24,25,24,26,21
298,Hugo Gonzalez,BOS,F,42,30,27,27,33,27,30,32,30,29,38,38,28,22,26,31,25,26,19
299,Jase Richardson,ORL,G,42,31,28,26,27,30,31,33,33,27,42,39,28,25,24,33,23,25,20
300,Ben Saraf,BKN,G,42,28,28,29,28,29,29,32,28,26,43,40,30,25,30,28,26,28,16
301,Svi Mykhailiuk,UTA,G,40,32,23,14,44,45,33,21,29,31,18,25,23,32,12,24,12,37,27
302,Zeke Nnaji,DEN,F,40,23,34,37,13,19,16,29,25,26,24,37,38,34,36,27,38,34,24
303,Trey Lyles,SAC,F,40,20,32,37,16,19,18,23,20,24,22,37,31,30,40,26,36,36,23
304,Ariel Hukporti,NYK,C,40,21,32,34,14,21,18,28,20,24,28,31,35,30,34,30,34,30,23
305,Drake Powell,BKN,G,40,29,28,28,31,24,31,28,30,27,38,40,33,25,26,28,26,27,14
306,Jonathan Mogbo,TOR,F,40,28,25,31,29,27,29,30,27,27,36,40,26,22,28,25,30,26,17
307,Marcus Sasser,DET,G,40,25,20,25,28,26,27,24,25,24,31,33,21,19,18,21,25,25,14
308,Ben Sheppard,IND,F,40,23,25,23,21,22,26,25,23,22,35,30,25,25,23,26,21,29,13
309,Tre Jones,CHI,G,40,24,22,25,21,21,23,21,25,27,35,36,21,24,18,23,24,26,16
310,Jamal Shead,TOR,G,40,22,22,22,20,25,20,26,21,23,32,28,22,24,22,21,20,24,20
311,Will Richard,GS,G,40,28,27,28,27,25,29,27,29,29,35,38,29,23,30,26,25,25,16
312,Rayan Rupert,POR,F,40,27,27,28,31,29,30,29,25,22,40,36,28,24,26,31,26,24,20
313,KJ Simpson,CHA,G,40,26,24,25,25,28,24,28,26,27,32,31,25,25,21,23,25,26,19
314,Tyrese Proctor,CLE,G,40,27,26,27,27,30,26,27,29,22,36,38,27,24,24,27,25,22,18
315,Nique Clifford,SAC,G,40,26,28,29,29,25,29,28,24,23,41,37,33,23,27,27,27,25,19
316,AJ Johnson,WAS,G,40,29,28,30,29,30,26,29,31,26,40,40,31,28,26,27,29,24,22
317,Dario Saric,SAC,F,40,19,34,36,15,20,19,23,19,20,23,30,37,30,40,31,37,35,22
318,Danny Wolf,BKN,F,40,28,27,29,31,31,25,28,29,26,38,33,33,22,24,29,29,27,18
319,Joe Ingles,MIN,F,38,31,21,15,41,47,30,19,26,34,18,23,20,33,12,19,14,33,25
320,Garrison Mathews,ATL,G,38,29,21,14,37,42,34,14,27,28,20,24,17,34,12,21,12,30,25
321,Bismack Biyombo,SA,C,38,22,32,33,16,16,18,27,24,23,21,32,36,28,37,28,32,34,21
322,DeAndre Jordan,DEN,C,38,21,31,36,13,17,20,23,24,20,24,32,32,32,37,23,36,34,22
323,Dwight Powell,DAL,C,38,20,32,36,15,16,20,21,20,23,26,29,34,27,37,29,38,33,24
324,Craig Porter Jr,CLE,G,38,25,23,24,24,25,26,25,26,23,34,31,24,24,19,26,24,28,16
325,Jett Howard,ORL,F,38,23,23,22,23,23,26,24,24,20,36,31,27,25,20,19,20,25,12
326,Tyrese Martin,BKN,F,38,22,21,20,22,25,23,20,19,25,36,30,25,18,20,22,18,28,14
327,Jordan Goodwin,LAL,G,38,21,23,24,24,25,20,19,21,21,28,33,26,21,18,27,24,23,19
328,Trentyn Flowers,LAC,F,38,27,26,29,29,24,24,30,30,22,34,31,30,20,29,23,28,20,19
329,Collin Gillespie,PHX,G,38,22,22,23,23,27,25,20,19,24,36,31,22,25,22,20,22,27,18
330,Kris Murray,POR,F,38,23,23,23,19,23,22,26,24,20,36,29,26,21,21,25,22,26,13
331,Bobi Klintman,DET,F,38,26,28,26,25,24,26,25,28,24,37,32,30,26,27,27,24,23,16
332,Moussa Diabate,CHA,F,38,22,30,32,15,20,23,26,21,24,20,28,35,29,34,24,33,29,20
333,Justin Champagnie,WAS,F,38,23,22,21,26,22,23,19,22,27,35,34,23,21,23,20,18,25,12
334,Trendon Watford,PHI,F,38,21,34,36,14,21,18,27,23,20,23,33,36,32,37,29,37,34,26
335,Tyler Smith,MIL,F,38,28,25,25,23,24,29,28,30,27,34,30,28,22,23,26,25,24,16
336,Dalen Terry,CHI,G,38,22,23,22,24,21,20,20,21,26,33,28,26,20,25,22,20,24,17
337,Drew Eubanks,UTA,C,38,20,32,35,14,15,20,22,21,21,22,36,35,27,34,30,35,33,26
338,Karlo Matkovic,NOP,C,36,19,28,34,12,16,21,23,17,22,24,33,28,25,37,23,33,31,19
339,Tyler Kolek,NYK,G,36,20,22,23,22,19,21,19,19,20,33,30,25,17,23,21,21,21,16
340,Luka Garza,MIN,C,36,20,30,30,15,20,18,25,21,18,18,29,34,32,33,23,29,31,20
341,Jordan Miller,LAC,F,36,21,22,20,22,23,18,25,19,23,28,33,25,17,19,25,17,21,17
342,Brandon Williams,DAL,G,36,21,22,19,23,22,21,19,22,21,31,29,20,24,23,21,16,25,12
343,Duop Reath,POR,C,36,20,30,31,17,18,18,26,19,21,22,29,34,26,31,28,32,29,21
344,Jordan Walsh,BOS,F,36,23,21,21,20,25,22,20,25,25,31,28,18,19,24,22,18,20,17
345,Garrett Temple,ATL,G,36,22,20,20,20,24,21,20,22,23,34,28,19,20,18,21,18,24,14
346,Olivier-Maxence Prosper,DAL,F,36,22,20,18,19,20,19,25,24,19,31,28,19,21,18,21,16,20,18
347,Harrison Ingram,SA,F,36,20,24,20,21,26,22,18,18,19,34,30,25,23,23,25,17,23,14
348,Jaylen Clark,MIN,G,36,22,37,22,19,23,19,22,23,21,38,36,41,35,29,42,17,31,30
349,Christian Koloko,TOR,C,36,19,28,31,12,20,18,24,16,22,18,31,29,29,31,25,31,27,21
350,Tyler Pruitt,PHI,F,36,25,24,26,27,25,22,26,25,26,34,34,24,22,24,25,25,18,13
351,Trevon Vaughn,MIA,F,36,26,26,26,23,23,28,27,26,27,32,30,26,25,25,27,26,19,13
352,Jordan Bryant,MIA,F,36,22,21,24,24,20,22,21,20,24,30,28,19,20,23,21,23,20,15
353,Tyrone Carter,ATL,G,36,25,27,25,25,24,23,25,25,25,31,32,29,25,25,29,24,23,16
354,Isaiah Okafor,MIL,C,36,22,20,23,25,25,20,21,19,23,30,27,22,17,21,21,23,23,13
355,Quincy Quarles,TOR,G,36,22,20,20,23,22,19,18,25,21,33,25,20,17,17,24,20,23,13
356,Trevon Carter,BKN,C,36,23,24,24,22,25,23,27,22,20,33,35,28,24,22,24,22,22,16
357,Malik Okafor,PHX,F,36,19,30,32,13,18,19,27,19,19,25,30,34,28,33,23,32,27,25
358,Antonio Marbury,MEM,F,36,18,30,33,18,12,21,20,17,22,20,30,27,29,38,27,32,31,18
359,Demetrius Marbury,MEM,F,36,21,22,24,20,25,25,19,19,21,29,29,21,20,23,25,23,27,15
360,Cameron Marbury,NOP,F,36,22,21,20,20,22,23,24,22,20,33,28,21,19,20,24,18,24,14
361,Trevon Dunbar,UTA,F,36,21,20,22,19,19,21,24,22,19,32,32,22,17,21,18,20,21,18
362,JD Davison,BOS,G,35,22,19,19,22,23,20,24,21,21,32,28,19,19,17,22,17,24,12
363,Cameron Stallworth,BOS,G,35,21,18,21,19,20,19,21,21,24,33,29,18,18,17,19,20,21,14
364,Tristan Vaughn,NYK,G,35,22,20,21,21,18,21,23,23,22,30,30,21,19,18,22,20,20,13
365,Marcus Dunbar,WAS,G,35,21,20,20,25,21,18,20,19,25,31,26,18,17,20,23,18,22,12
366,Khalil Burroughs,BKN,F,35,20,28,32,15,18,19,23,22,18,22,30,28,30,29,25,33,30,17
367,Brandon Sims,BKN,G,35,19,20,22,19,20,21,19,17,21,28,26,20,22,17,22,22,23,14
368,Tyler Crowder,GS,C,35,24,23,24,21,23,28,24,26,19,35,28,26,19,25,22,22,24,19
369,Reggie Lockett,HOU,F,35,20,18,22,18,24,18,25,19,19,31,29,17,16,22,17,20,20,14
370,Charles Bassey,SA,C,34,20,28,31,13,19,21,21,21,24,20,29,31,28,31,23,31,30,20
371,Mac McClung,ORL,G,34,21,18,20,21,20,17,21,23,19,31,27,17,16,15,23,20,19,12
372,Jalen Pickett,SAC,G,34,20,22,23,23,20,17,20,19,20,32,26,22,23,22,20,22,25,16
373,Xavier Castellanos,PHI,G,34,20,20,21,20,17,21,22,19,23,32,28,24,19,16,23,21,20,12
374,Reggie Ferrell,ORL,F,34,19,19,19,17,18,23,22,18,19,27,30,23,16,18,19,17,21,12
375,Jordan Whitfield,CHA,G,34,25,23,22,25,25,27,25,24,23,33,34,24,23,21,25,19,18,15
376,Antonio Falana,TOR,G,34,21,20,20,19,24,16,18,23,21,33,27,16,23,20,22,19,25,17
377,Marquis Mosby,MIN,F,34,20,21,22,22,20,17,21,19,23,26,30,24,20,21,20,20,25,14
378,Tyrone Mosley,GS,F,34,23,23,23,22,27,25,29,20,19,34,29,28,17,26,22,21,19,18
379,Jordan Dunbar,POR,F,34,18,29,29,12,15,20,19,21,17,19,31,33,25,33,25,27,32,22
380,Cameron Patterson,BOS,G,33,19,17,21,22,19,19,23,18,17,28,25,21,15,16,17,21,25,12
381,Devin Mosby,PHI,F,33,24,22,22,19,27,21,27,27,19,33,27,28,18,19,24,22,21,14
382,Elijah Sims,CLE,F,33,19,19,20,21,21,20,16,18,18,27,23,21,18,16,22,21,23,16
383,Isaiah Dunbar,ORL,F,33,17,28,28,12,12,18,22,17,17,17,29,27,29,32,25,27,30,20
384,Devin Easton,OKC,F,33,20,21,20,20,22,21,19,20,21,29,22,22,21,20,22,19,20,12
385,Dontae Ferrell,SA,F,33,20,18,22,22,22,17,21,17,22,26,23,16,20,20,17,22,20,15
386,Keon Marbury,DAL,C,33,19,19,20,17,16,16,16,22,21,29,24,21,16,22,16,19,20,17
387,Donovan Stallworth,POR,F,33,17,27,29,12,18,19,18,19,16,23,26,32,24,32,20,29,28,17
388,N'Faly Dante,HOU,C,32,18,23,26,16,12,16,18,18,23,17,25,23,22,29,19,26,28,21
389,Chris Livingston,MIL,F,32,17,18,17,15,22,16,17,16,15,26,22,21,20,15,16,16,25,12
390,Hunter Tyson,DEN,F,32,18,17,18,18,17,16,20,15,23,26,29,16,17,17,17,16,24,13
391,Jalen Hood-Schifino,LAL,G,32,21,18,17,19,21,23,21,22,20,28,25,20,15,19,17,15,20,12
392,Yuki Kawamura,MEM,G,32,20,18,20,22,22,18,17,23,18,31,23,18,16,21,19,19,23,14
393,Lester Quinones,CHA,G,32,20,18,19,17,21,20,20,22,16,25,30,21,16,21,15,16,17,17
394,Malachi Flynn,DET,G,32,20,19,21,17,18,18,17,22,22,27,27,22,15,17,22,21,24,14
395,Lindy Waters III,HOU,F,32,17,19,18,17,19,20,16,16,19,30,25,18,20,21,17,16,19,12
396,Javon Freeman-Liberty,TOR,G,32,20,18,19,18,20,22,22,22,17,30,24,19,20,17,16,18,17,12
397,Trevon Pruitt,ORL,F,32,20,19,19,22,21,18,19,21,16,27,26,17,17,21,22,17,23,12
398,Trevon Crowder,ATL,C,32,21,21,25,21,23,25,20,22,17,31,31,22,23,19,19,25,20,12
399,Malik Burroughs,CHA,G,32,20,21,21,21,20,19,22,22,17,28,25,23,20,18,24,21,22,15
400,Donovan Hadley,DET,F,32,24,21,23,25,19,26,24,25,23,30,29,22,20,20,21,23,20,15
401,Tyrone Crowder,DET,C,32,19,18,19,21,17,21,17,21,18,29,26,23,17,15,19,18,22,13
402,Donovan Spruill,DET,F,32,18,26,29,17,15,14,24,18,20,21,26,27,29,30,19,29,29,17
403,Dontae Bryant,IND,F,32,20,19,21,23,19,22,20,16,22,23,28,21,15,17,22,21,24,12
404,Cameron Vaughn,MIL,C,32,20,20,20,19,17,18,17,21,22,28,23,17,21,20,21,19,23,12
405,Darius Bryant,OKC,G,32,18,26,27,12,16,20,23,19,16,19,23,28,24,27,25,28,28,16
406,Reggie Easton,OKC,F,32,18,19,19,20,22,17,22,16,16,29,23,18,20,21,17,17,18,12
407,Malachi Ferrell,DEN,G,32,20,19,17,21,18,23,22,17,22,31,25,21,20,14,20,16,17,16
408,Malik Falana,UTA,C,32,21,19,22,22,20,22,19,22,22,29,26,16,21,21,19,21,19,12
409,Caleb Castellanos,NYK,C,31,18,18,19,18,15,18,19,21,15,23,27,18,14,21,20,16,21,12
410,Tyrone Ellison,CLE,C,31,22,20,22,23,22,20,21,24,21,28,29,24,18,17,23,22,22,12
411,Caleb Whitfield,MIA,F,31,19,16,19,16,21,15,22,22,15,29,25,16,18,15,15,18,18,14
412,Quincy Boykins,WAS,G,31,21,21,22,20,25,23,24,19,21,28,26,21,22,20,20,22,23,12
413,Tyrone Dunbar,TOR,F,31,17,26,27,15,18,14,23,14,20,19,28,25,22,32,23,26,23,17
414,Reggie Boykins,DEN,G,31,17,16,19,17,16,16,22,16,15,28,22,18,16,13,16,20,21,13
415,Tyrone Hadley,SAC,F,31,18,19,21,20,18,23,15,17,18,29,25,18,17,20,22,21,19,12
416,Keon Falana,MEM,F,31,18,24,25,12,15,14,17,21,22,16,25,24,21,28,24,24,23,15
417,Dontae Spruill,NOP,F,31,18,24,30,12,15,17,21,19,22,16,27,27,23,27,21,31,25,15
418,Kevin McCullar Jr,NYK,G,30,17,17,16,18,17,20,20,15,16,25,27,20,15,17,15,13,23,13
419,DaQuan Jeffries,CHA,G,30,18,17,18,15,15,16,18,21,16,27,23,15,16,15,21,18,20,15
420,Quenton Jackson,IND,G,30,18,18,18,20,18,17,18,16,21,25,27,22,15,17,20,16,22,12
421,Branden Carlson,OKC,C,30,16,27,28,12,12,14,22,15,19,18,26,26,28,32,22,28,29,19
422,Bronny James,LAL,G,30,19,18,16,17,19,19,21,18,19,29,21,22,15,20,17,14,22,12
423,Cam Christie,LAC,G,30,19,18,17,20,15,14,20,21,18,29,24,15,15,20,21,15,16,12
424,Isaac Jones,SAC,F,30,17,15,19,19,17,15,16,19,17,26,27,16,18,13,14,18,19,13
425,Dru Smith,MIA,G,30,19,17,17,16,20,14,18,20,22,26,25,17,16,20,15,14,19,12
426,Tosan Evbuomwan,BKN,F,30,18,18,20,22,18,18,21,14,20,23,26,21,15,20,16,19,22,12
427,Damion Baugh,IND,G,30,18,18,18,15,17,19,16,18,22,26,21,21,16,20,17,16,18,12
428,Jamison Battle,TOR,F,30,18,17,17,20,14,18,21,17,18,23,26,16,20,14,18,15,22,14
429,Bryce McGowens,NOP,G,30,20,16,19,15,20,21,22,21,18,23,23,14,15,13,22,20,21,12
430,Jordan Lockett,NYK,G,30,17,16,15,20,19,21,16,15,18,26,27,20,15,14,16,13,20,15
431,Marcus Okafor,PHI,C,30,17,17,15,19,17,17,16,16,18,23,24,18,17,15,19,13,19,14
432,Khalil Marbury,ATL,C,30,18,17,17,21,17,16,19,17,18,22,28,21,14,16,16,15,19,16
433,Caleb Lockett,CHA,G,30,20,20,18,18,24,19,20,21,16,26,28,23,21,17,18,16,19,16
434,Jordan Okafor,DET,F,30,21,20,21,17,22,20,26,20,22,32,28,22,19,20,19,20,17,13
435,Tyler Marbury,MIL,C,30,21,20,21,23,23,18,20,23,16,31,24,21,17,22,21,20,20,16
436,Xavier Sims,CHI,C,30,17,16,19,16,22,16,14,15,20,23,23,18,15,18,14,19,20,15
437,Khalil Lockett,HOU,C,30,17,17,19,20,14,17,20,18,15,28,22,15,19,16,18,19,17,12
438,Demetrius Kone,HOU,F,30,20,18,22,17,25,24,19,20,19,25,27,20,16,16,20,22,17,12
439,Jaylin Crowder,NOP,G,30,16,25,28,16,17,13,17,13,22,17,22,27,22,30,20,29,22,20
440,Caleb Quarles,CLE,F,29,17,15,16,20,20,16,18,14,20,21,25,14,12,18,17,13,15,13
441,Demetrius Crowder,CHA,F,29,17,20,20,15,15,21,16,20,14,24,27,21,18,20,19,19,18,12
442,Trevon Patterson,SA,F,29,16,24,26,14,13,14,18,16,20,19,21,26,22,26,20,27,24,20
443,Xavier Stallworth,DEN,F,29,18,18,16,17,14,16,20,20,16,22,23,19,19,19,16,14,16,15
444,Devin Tibbs,LAC,F,29,17,18,19,15,19,14,16,19,18,22,20,21,14,20,19,18,17,12
445,Marcus Hargrove,LAC,F,29,19,17,18,20,20,18,19,20,14,26,24,18,12,19,18,16,22,13
446,Xavier Marbury,LAC,F,29,18,16,18,16,21,16,19,21,15,25,24,14,19,13,16,18,18,14
447,Dontae Hargrove,DAL,F,29,14,25,25,13,12,12,17,15,13,21,27,26,25,26,22,24,23,16
448,Jacob Toppin,NYK,F,28,17,16,16,19,15,18,18,18,15,21,21,16,14,18,16,15,16,15
449,Nae'Qwan Tomlin,CLE,F,28,16,17,19,17,15,20,16,14,18,26,26,18,18,14,17,18,20,12
450,Keshad Johnson,MIA,F,28,17,18,17,14,18,18,21,18,14,25,19,20,14,18,20,16,17,14
451,Daniss Jenkins,DET,G,28,17,17,18,19,16,19,14,17,16,24,19,19,14,16,20,19,15,13
452,Dillon Jones,OKC,F,28,18,16,14,20,18,13,17,19,18,20,22,17,17,12,17,13,17,12
453,Spencer Jones,DEN,F,28,15,14,14,15,15,13,14,13,18,22,22,17,15,12,14,12,19,14
454,Ryan Nembhard,DAL,G,28,15,19,15,17,16,15,14,14,13,26,22,20,19,18,20,12,18,12
455,Cole Swider,NYK,F,28,18,16,15,18,18,20,19,18,14,26,26,13,15,15,20,13,16,12
456,Malevy Leons,ORL,F,28,16,16,15,14,14,19,17,13,20,25,19,15,16,17,17,14,20,12
457,Enrique Freeman,IND,F,28,18,16,18,15,15,19,19,20,19,26,20,13,17,18,15,17,20,12
458,Trey Alexander,NOP,G,28,17,17,14,18,19,16,18,16,15,27,19,16,19,12,21,13,15,12
459,Drew Peterson,BOS,F,28,17,18,15,16,14,19,17,18,19,20,21,19,12,18,21,13,15,12
460,Jaylin Greer,ORL,C,28,17,14,17,21,18,14,16,15,19,22,24,17,12,12,16,16,16,12
461,Donovan Castellanos,SA,F,28,18,15,18,15,19,18,19,20,14,20,22,15,13,17,14,17,15,14
462,Dontae Mosley,DEN,F,28,20,19,19,16,20,21,24,18,20,24,24,23,17,17,20,18,15,13
463,Brandon Kone,MIN,G,28,17,16,17,14,17,13,14,20,20,21,21,17,19,15,13,16,17,12
464,Tyler Tibbs,MIN,G,28,16,17,18,18,17,18,16,16,15,21,24,17,19,12,20,18,19,13
465,Donovan Sims,SAC,C,28,20,17,20,16,23,19,24,18,21,29,29,23,15,14,17,20,19,15
466,Tristan Hargrove,DAL,C,28,16,16,17,18,16,15,17,13,18,22,19,13,18,14,18,17,16,12
467,Dontae Falana,MEM,F,28,18,17,17,15,15,17,17,20,19,21,19,19,15,13,20,18,18,15
468,Andre Easton,POR,C,28,16,23,26,13,12,17,15,18,18,18,26,26,19,26,21,26,23,18
469,Caleb Ellison,BOS,G,27,17,17,20,15,23,21,19,16,14,28,22,18,16,16,17,21,13,12
470,Keon Bryant,BOS,G,27,15,16,14,15,15,19,19,13,12,20,19,14,15,19,16,12,14,15
471,Keon Lockett,NYK,F,27,16,14,14,17,15,14,14,16,18,27,19,13,16,12,13,14,17,12
472,Cameron Boykins,CLE,F,27,16,14,15,19,19,15,13,15,16,23,20,14,13,13,15,15,20,14
473,Darius Greer,MIA,F,27,14,15,18,13,14,16,14,15,14,26,22,15,14,19,12,17,17,12
474,Jalen Ellison,WAS,F,27,19,18,17,19,20,16,22,21,16,25,28,22,16,19,16,14,18,16
475,Trevon Okafor,CHI,F,27,16,16,14,13,15,16,13,18,15,21,19,17,17,12,18,14,16,12
476,Andre Falana,BKN,C,27,15,14,15,16,15,16,14,17,13,25,24,16,15,15,12,13,19,12
477,Devin Tatum,SA,F,27,19,18,18,20,19,21,19,22,14,25,25,21,17,19,17,16,16,14
478,Brandon Crowder,MIN,F,27,19,18,16,22,17,18,24,19,17,22,22,21,14,15,21,15,13,13
479,Jordan Mosby,PHX,C,27,16,16,17,13,14,15,13,18,19,22,23,19,14,16,14,16,19,12
480,Trevon Castellanos,DAL,F,27,16,16,14,15,18,18,18,14,16,22,19,17,18,17,13,12,15,12
481,Xavier Patterson,NOP,G,27,15,13,13,14,19,18,14,13,13,22,19,15,13,12,13,12,14,12
482,Tyrone Boykins,UTA,G,27,15,24,28,12,12,15,16,16,18,17,26,26,23,27,20,28,22,17
483,Luke Travers,CLE,G,26,14,15,16,12,17,17,17,12,15,24,21,14,17,17,13,15,19,13
484,Jamal Cain,HOU,F,26,15,14,17,12,12,13,19,16,14,20,21,13,12,12,18,17,18,12
485,Alex Reese,OKC,F,26,15,15,18,16,19,17,12,12,17,20,18,13,16,17,14,18,18,13
486,Kevon Harris,BKN,G,26,17,15,14,13,18,14,18,18,17,25,18,15,17,15,14,13,18,12
487,Jaylin Mosley,ATL,G,26,16,16,15,13,15,17,19,14,18,20,18,16,17,17,16,14,20,12
488,Jaylin Quarles,WAS,G,26,16,16,17,16,17,14,12,15,20,19,21,18,14,16,15,17,15,12
489,Jaylin Sims,TOR,C,26,15,17,16,12,17,18,17,12,15,23,18,16,16,17,18,15,16,12
490,Jalen Lockett,LAL,F,26,17,16,19,16,19,20,16,18,15,28,27,18,14,14,17,18,18,12
491,Tristan Mosby,LAC,F,26,14,21,23,12,12,12,16,16,13,15,24,20,20,27,17,22,20,19
492,Donovan Easton,PHX,F,26,19,18,16,18,17,21,23,18,17,22,27,16,19,15,21,14,13,12
493,Cameron Kone,UTA,G,26,15,21,21,12,12,13,20,16,15,15,24,22,19,23,19,20,21,14
494,Marquis Okafor,POR,C,26,15,22,25,12,15,13,16,16,18,16,25,23,18,27,22,24,20,18
495,Antonio Ellison,IND,F,25,16,14,14,19,12,18,15,16,18,23,24,15,15,12,16,12,18,12
496,Devin Castellanos,IND,G,25,14,14,17,12,13,19,14,13,12,19,19,17,12,17,12,17,14,12
497,Jaylin Falana,MIL,C,25,16,14,15,16,17,15,15,17,16,22,20,12,15,15,13,14,14,14
498,Malik Vaughn,CHI,C,25,15,17,18,18,13,19,18,12,13,24,22,15,17,18,18,17,19,12
499,Devin Marbury,OKC,F,25,13,21,20,13,12,12,17,12,13,12,21,21,20,23,20,19,19,18
500,Andre Burroughs,LAL,C,25,15,15,17,12,14,17,18,15,12,19,20,17,16,14,14,17,18,12
501,Demetrius Greer,GS,F,25,15,16,15,12,12,13,19,16,13,18,24,14,17,17,14,12,16,12
502,Darius Carter,IND,F,24,14,12,14,14,12,17,12,16,13,19,21,14,12,12,12,13,14,12
